PNR,baggage_id,first_name,last_name,org_airport,dest_airport,flt_code,flt_seq_num,dep_date
UQJS7X,9029087422,Jason,Kramer,SDF,AUS,UA0804,1,2/22/23
UQJS7X,9029087422,Jason,Kramer,AUS,JAX,UA0657,2,2/21/23
WUCHNS,246263725,Jessica,Smith,GRR,AUS,UA0790,1,2/23/23
WUCHNS,246263725,Jessica,Smith,AUS,ABQ,UA0221,2,2/21/23
QE5RVL,6118269922,Matthew,Adams,HRL,MHT,UA0533,1,2/25/23
QE5RVL,6118269922,Matthew,Adams,MHT,MSY,UA0059,2,2/21/23
YUUDBH,4563612984,Kevin,Nichols,HRL,TPA,UA0756,1,2/23/23
YUUDBH,4563612984,Kevin,Nichols,TPA,OKC,UA0445,2,2/21/23
50EFFQ,1876848135,Matthew,Bell,ORF,MCO,UA0317,1,2/23/23
50EFFQ,1876848135,Matthew,Bell,MCO,ATL,UA0566,2,2/21/23
FF5MIW,6352033775,Sarah,Poole,BMI,AGS,UA0356,1,2/25/23
FF5MIW,6352033775,Sarah,Poole,AGS,MSY,UA0905,2,2/21/23
GPRIL2,9465128572,Timothy,Solomon,FAR,FLL,UA0643,1,2/22/23
GPRIL2,9465128572,Timothy,Solomon,FLL,FAR,UA0140,2,2/21/23
TCWX28,1868688275,Ariel,Flynn,ONT,DFW,UA0686,1,2/25/23
TCWX28,1868688275,Ariel,Flynn,DFW,PDX,UA0126,2,2/21/23
XI06QD,1943563831,Amanda,Newton,OKC,EUG,UA0673,1,2/24/23
XI06QD,1943563831,Amanda,Newton,EUG,SAV,UA0315,2,2/21/23
MSRC2T,8495558268,Richard,Walsh,GRB,FNT,UA0684,1,2/22/23
MSRC2T,8495558268,Richard,Walsh,FNT,CAE,UA0436,2,2/21/23
VAIIOA,5020393515,Andrew,Bennett,ELP,AUS,UA0814,1,2/24/23
VAIIOA,5020393515,Andrew,Bennett,AUS,CLT,UA0363,2,2/21/23
YGO0ZW,6894086029,Jose,Rogers,ROC,PHL,UA0214,1,2/24/23
YGO0ZW,6894086029,Jose,Rogers,PHL,AUS,UA0809,2,2/21/23
5RA7WE,7382446199,Autumn,Woods,SMF,MHT,UA0990,1,2/21/23
